kedeputian;direktorat;detail;belanja;anggaran
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Pembulatan Gaji PNS;Belanja Pegawai;6500000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja pengiriman surat dinas pos pusat;Belanja Barang;286000000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja perjalanan biasa;Belanja Perjalanan;34306100000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;5293000000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;1020800000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;21177482000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja perjalanan lainnya - luar negeri;Belanja Perjalanan;3031000000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Sewa;Belanja Barang;3314500000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Tunj. Anak PNS;Belanja Pegawai;381023000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Tunj. Beras PNS;Belanja Pegawai;1750858000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Tunj. Fungsional PNS;Belanja Pegawai;162000000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Tunj. PPh PNS;Belanja Pegawai;680325000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Tunj. Struktural PNS;Belanja Pegawai;1881100000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Tunj. Suami/Istri PNS;Belanja Pegawai;1699135000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Tunjangan Umum PNS;Belanja Pegawai;1040700000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja uang lembur;Belanja Pegawai;720270000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Belanja Uang Makan PNS;Belanja Pegawai;3470000000
Ditjen Prasarana dan Sarana Pertanian;Direktorat Pupuk dan Pestisida;Honor Output Kegiatan;Belanja Pegawai;7302410000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Bahan;Belanja Bahan;4086815000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Barang Non Operasional Lainnya;Belanja Barang;138300000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;1575400000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Biaya Pemeliharaan Peralatan dan Mesin;Belanja Modal;30000000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Jasa Lainnya;Belanja Jasa;27702490000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Jasa Profesi;Belanja Jasa;1853600000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Modal Lainnya;Belanja Modal;100000000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja pengiriman surat dinas pos pusat;Belanja Barang;5000000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja perjalanan biasa;Belanja Perjalanan;25093930000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;344200000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;499300000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;9477067000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Belanja Sewa;Belanja Barang;1054605000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Honor Operasional Satuan Kerja;Belanja Pegawai;1687370000
Ditjen Prasarana dan Sarana Pertanian;Sek Ditjen PSP;Honor Output Kegiatan;Belanja Pegawai;1457250000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Bahan;Belanja Bahan;1303768000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Barang Non Operasional Lainnya;Belanja Barang;1990000000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Barang Operasional Lainnya;Belanja Barang;81000000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;171000000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Biaya Pemeliharaan Lainnya;Belanja Modal;43500000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Jasa Profesi;Belanja Jasa;221600000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Keperluan Perkantoran;Belanja Bahan;91200000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Modal Peralatan dan Mesin;Belanja Modal;500000000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja pengiriman surat dinas pos pusat;Belanja Barang;11300000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja perjalanan biasa;Belanja Perjalanan;2176874000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;60000000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;35000000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;821000000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Sewa;Belanja Barang;494000000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Honor Output Kegiatan;Belanja Pegawai;193908000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Bahan;Belanja Bahan;680226000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;290500000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Biaya Pemeliharaan Peralatan dan Mesin;Belanja Modal;20000000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Gedung dan Bangunan untuk diserahkan kepada masyarakat/Pemda;Belanja Modal;21520000000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Jasa Lainnya;Belanja Jasa;589500000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Jasa Profesi;Belanja Jasa;541700000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Keperluan Perkantoran;Belanja Bahan;86400000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Modal Lainnya;Belanja Modal;10000000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Modal Peralatan dan Mesin;Belanja Modal;612000000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja pengiriman surat dinas pos pusat;Belanja Barang;6000000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Peralatan dan Mesin untuk diserahkan kepada masyarakat/Pemda;Belanja Barang;632182260000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja perjalanan biasa;Belanja Perjalanan;4920800000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;67500000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;186780000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;205000000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Sewa;Belanja Barang;207000000
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Honor Output Kegiatan;Belanja Pegawai;195950000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Bahan;Belanja Bahan;2211723000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Barang Non Operasional Lainnya;Belanja Barang;300000000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;288952000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Jasa Lainnya;Belanja Jasa;743500000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Jasa Profesi;Belanja Jasa;1579600000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Keperluan Perkantoran;Belanja Bahan;72000000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Modal Lainnya;Belanja Modal;50000000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Modal Peralatan dan Mesin;Belanja Modal;311000000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja pengiriman surat dinas pos pusat;Belanja Barang;174148000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja perjalanan biasa;Belanja Perjalanan;4656856000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;9320000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;393280000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;600402000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Sewa;Belanja Barang;107963000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Honor Output Kegiatan;Belanja Pegawai;107800000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Bahan;Belanja Bahan;1066858000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Barang Lainnya untuk diserahkan kepada masyarakat/Pemda;Belanja Barang;9267000000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Barang Persediaan bahan baku;Belanja Barang;988896000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;325000000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Barang Persediaan Lainnya;Belanja Barang;850132000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah;Belanja Barang;50000000000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Biaya Pemeliharaan Peralatan dan Mesin Lainnya;Belanja Modal;185000000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Jasa Lainnya;Belanja Jasa;455906000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Jasa Profesi;Belanja Jasa;64300000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Modal Gedung dan Bangunan;Belanja Modal;26000000000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Modal Peralatan dan Mesin;Belanja Modal;2675570000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Modal Perencanaan dan Pengawasan Gedung dan Bangunan;Belanja Modal;650000000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Modal Perizinan Gedung dan Bangunan;Belanja Modal;50000000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Modal Perjalanan Gedung dan Bangunan;Belanja Modal;33000000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Penambah Daya Tahan Tubuh;Belanja Barang;160056000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja pengiriman surat dinas pos pusat;Belanja Barang;20000000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Peralatan dan Mesin untuk diserahkan kepada masyarakat/Pemda;Belanja Barang;40050000000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja perjalanan biasa;Belanja Perjalanan;6314562000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;895650000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;64590000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;866684000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Sewa;Belanja Barang;6040000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Honor Output Kegiatan;Belanja Pegawai;50010000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Bahan;Belanja Bahan;2383490000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Barang Lainnya untuk diserahkan kepada masyarakat/Pemda;Belanja Barang;630000000000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Barang Non Operasional Lainnya;Belanja Barang;6550000000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;140000000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah;Belanja Barang;494256120000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Biaya Pemeliharaan Peralatan dan Mesin;Belanja Modal;50000000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Jasa Lainnya;Belanja Jasa;870800000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Jasa Profesi;Belanja Jasa;1615000000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Modal Peralatan dan Mesin;Belanja Modal;690505000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Penambah Daya Tahan Tubuh;Belanja Barang;120000000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja pengiriman surat dinas pos pusat;Belanja Barang;42841000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja perjalanan biasa;Belanja Perjalanan;11097970000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;226800000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;1100040000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;517750000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Sewa;Belanja Barang;1321320000
Ditjen Tanaman Pangan;Direktorat Serealia;Honor Output Kegiatan;Belanja Pegawai;14100000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Bahan;Belanja Bahan;6531557000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Barang Lainnya untuk diserahkan kepada masyarakat/Pemda;Belanja Barang;30000000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Barang Non Operasional Lainnya;Belanja Barang;15228000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Barang Operasional Lainnya;Belanja Barang;129150000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;831585000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Barang Persediaan Pita Cukai, Meterai dan Leges;Belanja Barang;4200000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah;Belanja Barang;37600000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Biaya Pemeliharaan Gedung dan Bangunan;Belanja Modal;4547022000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Biaya Pemeliharaan Peralatan dan Mesin;Belanja Modal;3833840000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Gaji Pokok PNS;Belanja Pegawai;25227453000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Jasa Konsultan;Belanja Jasa;42000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Jasa Lainnya;Belanja Jasa;2544500000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Jasa Pos dan Giro;Belanja Jasa;23000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Jasa Profesi;Belanja Jasa;3751350000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Keperluan Perkantoran;Belanja Bahan;6384090000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Langganan Listrik;Belanja Barang;1920000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Langganan Telepon;Belanja Barang;240000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Modal Peralatan dan Mesin;Belanja Modal;2576100000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Pegawai Transito;Belanja Pegawai;7570571000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Pembulatan Gaji PNS;Belanja Pegawai;388000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Penambahan Nilai Gedung dan Bangunan;Belanja Modal;2248000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja pengiriman surat dinas pos pusat;Belanja Barang;231700000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Peralatan dan Mesin untuk diserahkan kepada masyarakat/Pemda;Belanja Barang;40000000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja perjalanan biasa;Belanja Perjalanan;14986872000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;1055740000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;1880550000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;9547388000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja perjalanan lainnya - luar negeri;Belanja Perjalanan;1000000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Sewa;Belanja Barang;2009100000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Tunj. Anak PNS;Belanja Pegawai;545399000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Tunj. Beras PNS;Belanja Pegawai;1468849000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Tunj. Fungsional PNS;Belanja Pegawai;436380000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Tunj. Lain lain termasuk uang duka PNS Dalam dan Luar Negeri;Belanja Pegawai;100000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Tunj. PPh PNS;Belanja Pegawai;192155000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Tunj. Struktural PNS;Belanja Pegawai;1114540000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Tunj. Suami/Istri PNS;Belanja Pegawai;1841462000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Tunjangan Umum PNS;Belanja Pegawai;1099630000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja uang lembur;Belanja Pegawai;1500000000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Belanja Uang Makan PNS;Belanja Pegawai;4427280000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Honor Operasional Satuan Kerja;Belanja Pegawai;1807080000
Ditjen Tanaman Pangan;Sek Ditjen Tanaman Pangan;Honor Output Kegiatan;Belanja Pegawai;3060810000
